Address,Club,Lat,Link,Lon,Prov
 Trans Canada Hwy    Crapaud  PE C0A 1J0 ,Crapaud Community Curling Club,45.966632000000004,http:crapaudcurlingclub.com,-62.797936,Prince Edward Island
 Creemore  ON L0M 1G0   ,Creemore Curling Club,44.320547999999995,,-80.131693,Ontario
 Cremona  AB T0M 0R0   ,Cremona Curling Club,51.544977,,-114.48968,Alberta
 Creston  BC V0B 1G0   ,Creston Curling Club,49.37088,,-115.83982900000001,British Columbia
"14317 - 96 Avenue, Edmonton, AB T5N 0C5",Crestwood Curling Club,53.533664,http:www.crestwoodcurling.com,-113.568781,Alberta
 Crossfield  AB T0M 0S0   ,Crossfield Curling Club,51.425553,http:www.crossfieldcurling.com,-114.03074,Alberta
 Coleman  AB T0K 0M0   ,Crowsnest Curling Club,49.636016999999995,http:www.members.shaw.cacrowsnestcurlingclub,-114.50229499999999,Alberta
 Cudworth  SK S0K 1B0   ,Cudworth Curling Club,52.489135,,-105.73563899999999,Saskatchewan
 935 Cameron St. N.  Cumberland  ON K4C 1E6  ,Cumberland Curling Club,45.519414000000005,http:www.cumberland.ovca.com,-75.411833,Ontario
"80 Lockhart Avenue, Moncton, NB E1C 3B8","Curling Beausejour, Inc.",46.095219,http:www.curlmoncton.ca,-64.79764399999999,New Brunswick
 200 Hume St.  Collingwood  ON L9Y 4B2  ,Curling Club of Collingwood,44.496562,http:www.collingwoodcurlingclub.ca,-80.21023199999999,Ontario
 640 County Road 20 West  Kingsville  ON N9Y 2G1  ,Curling Club of Kingsville,42.036161,http:www.kingsvillecurling.com,-82.712925,Ontario
 Cypress River  MB R0K 0P0   ,Cypress River Curling Club,49.628549,,-98.990402,Manitoba
"123 Ramsay St., Unit 2, Dalhousie, NB E8C 2G8",Dalhousie Legion Curling Club,48.064625,,-66.376584,New Brunswick
 Dalmeny  SK S0K 1E0   ,Dalmeny Curling Club,52.342242,,-106.772023,Saskatchewan
 Danville  QC J0A 1A0   ,Danville Curling Club,45.78526,http:www.danvillecurlingclub.com,-72.01897,Quebec
"35 Canal Street, Dartmouth, NS B2Y 2W1",Dartmouth Curling Club,44.665123,http:www.dartmouthcurling.com,-63.56233,Nova Scotia
 Dauphin  MB R7N 2V2   ,Dauphin Curling Club,51.144009999999994,http:www.curldauphin.org,-100.05569,Manitoba
 Davidson  SK S0G 1A0   ,Davidson Curling Club,51.219143,,-105.99508300000001,Saskatchewan
 Dawson Creek  BC V1G 4G5   ,Dawson Creek Curling Club,55.759192000000006,http:www.dccurling.ca,-120.243394,British Columbia
 Daysland  AB T0B 1A0   ,Daysland Curling Club,52.864523,,-112.26092299999999,Alberta
 Debden  SK S0J 0S0   ,Debden Curling Club,53.523472999999996,,-106.878155,Saskatchewan
 1 Granite Lane  Deep River  ON K0J 1P0  ,Deep River Curling & Squash Club,46.096163,http:www.drcsc.ca,-77.48650500000001,Ontario
"425 Woodlawn Avenue, Winnipeg, MB R3J 2J3",Deer Lodge Curling Club,49.88512,http:www.deerlodgecurlingclub.ca,-97.233626,Manitoba
"55 Hillside Dr. S., Elliot Lake, ON P5A 1M8",Deer Trail Curling Club,46.380469,http:www.curlinggetaway.comabout.html,-82.64813000000001,Ontario
 Delburne  AB T0M 0V0   ,Delburne & District Curling Club,52.203527,,-113.33492,Alberta
 Delia  AB T0J 0W0   ,Delia Curling Club,51.63351,,-112.377669,Alberta
 Deloraine  MB R0M 0M0   ,Deloraine Curling Club,49.485517,,-100.53451899999999,Manitoba
"11415 - 84th Avenue, Delta, BC V4C 2L9",Delta Thistle Curling Club,49.155964000000004,http:www.deltathistle.ca,-122.90666999999999,British Columbia
"3500 - 119 Street, Edmonton, AB T6J 5P5",Derrick Curling Club,53.467429,https:derrickclub.memberstatements.comtourtours.cfm?tourid=14974,-113.538876,Alberta
 Didsbury  AB T0M 0W0   ,Didsbury Curling Club,51.651379999999996,,-114.13340600000001,Alberta
 Digby  NS B0V 1A0   ,Digby Curling Club,44.391414000000005,http:www.didsbury.camunicipaldidsburywebcms.nsfAllDocF28A64DCC4DCCF028725754C007430A2?OpenDocument,-66.057202,Nova Scotia
"3071 Palstan Road, Mississauga, ON L4Y 2Z7",Dixie Curling Club,43.604458,http:www.dixiecurlingclub.com,-79.589438,Ontario
"29 Prospect Street, Doaktown, NB E9C 1C3",Doaktown Curling Club,46.549305,,-66.13501600000001,New Brunswick
"12 Bushbury Drive, Don Mills, ON M3A 2Z7",Donalda Curling Club,50.0,http:www.donaldaclub.ca,-86.0,Ontario
 Drayton Valley  AB T7A 1R3   ,Drayton Valley Curling Club,53.20975,http:www.draytonvalleycurling.ca,-114.97646999999999,Alberta
 Drumheller  AB T0J 0Y0   ,Drumheller Curling Club,51.457729,,-112.716702,Alberta
 Dryden  ON P8N 2Z2   ,Dryden District Curling Club,49.782851,,-92.79499799999999,Ontario
 Duncan  BC V9L 3X8   ,Duncan Curling Club,48.771956,http:www.duncancurling.com,-123.70853400000001,British Columbia
"24 Head Street, Dundas, ON L9H 3H3",Dundas Granite Curling Club,43.270052,http:www.duncancurling.com,-79.973863,Ontario
 10 Woodley's Lane  Dundas  ON L9H 5G1  ,Dundas Valley Golf & Curling Club,43.263975,http:www.dundasvalleygolf.com,-79.95352,Ontario
 279 Kincardine Street South  Durham  ON N0G 1R0  ,Durham Curling Club,44.172538,,-80.812762,Ontario
"260 Hoddinott Road, Winnipeg, MB R2E 0H7",East St. Paul Curling Club,49.989862,http:www.eaststpaulcurlingclub.net,-97.040322,Manitoba
"901 Cosburn Avenue, Toronto, ON M4C 2W7",East York Curling Club,43.697029,http:www.eastyorkcurling.ca,-79.313895,Ontario
 Eastend  SK S0N 0T0   ,Eastend Curling Club,49.516055,,-108.819805,Saskatchewan
 Eckville  AB T0M 0X0   ,Eckville Curling Club,52.240594,,-114.41509599999999,Alberta
 Lancaster Park  AB T0A 2H0   ,Edmonton Garrison Curling Clib,53.670717,http:www.egmgolf.com,-113.491827,Alberta
 Edson  AB T7E 1T8   ,Edson Curling Club,53.584056000000004,http:www.edsonrecreationcomplex.com,-116.431009,Alberta
 Elk Point  AB T0A 3A0   ,Elk Point Curling Club,53.995008,,-111.30133000000001,Alberta
 Elkford  BC V0B 1H0   ,Elkford Curling Club,49.535468,,-115.764495,British Columbia
"530 71 St SW, Edmonton, AB T6X 1A3, Canada",Ellerslie Curling Club,53.427983,http:www.ellersliecurling.com,-113.44838200000001,Alberta
 Elm Creek  MB R0G 0N0   ,Elm Creek Curling Club,49.674321,,-97.998448,Manitoba
 40 Eldale Road  Elmira  ON N3B 2Z5  ,Elmira & District Curling Club,43.603916999999996,http:www.elmiracurlingclub.ca,-80.57955,Ontario
"14 George St., Unit A, Elmvale, ON L0L 1P0",Elmvale Curling Club,44.190349,http:www.elmvalecurlingclub.ca,-79.704382,Ontario
"300 Brazier Street, Winnipeg, MB R2L 1P3",Elmwood Curling Club,49.916074,http:www.elmwoodcurlingclub.com,-97.109027,Manitoba
"27 David Street West, Elora, ON N0B 1S0",Elora Curling Club,43.684093,http:www.eloracurling.com,-80.435796,Ontario
 Elrose  SK S0L 0Z0   ,Elrose Curling Club,51.19775,,-108.03581499999999,Saskatchewan
 Emerson  MB R0A 0L0   ,Emerson Curling Club,49.032778,http:www.efree.mb.caecchome.html,-97.144273,Manitoba
"c\/o Township of Emo P.O. Box 520, Emo, ON P0W 1E0",Emo Curling Club,48.632292,,-93.835698,Ontario
 Empress  AB T0J 1E0   ,Empress Agridome,51.012335,,-110.136917,Alberta
"1605 Kate Street, Enderby, BC V0E 1V2",Enderby Curling Club,50.55627,http:enderbycurlingclub.ca,-119.135,British Columbia
 Englehart   ON P0J 1H0   ,Englehart Curling Club,47.831065,,-79.863587,Ontario
"555 Ennis Road, Ennismore, Ontario",Ennismore Curling Club,44.4111876,http:www.ennismorecurling.ca,-78.425719,Ontario
 Eriksdale  MB R0C 0W0   ,Eriksdale Curling Club,50.70407,,-98.021677,Manitoba
"58 Mead, Espanola, ON P5E 1B1",Espanola Curling Club,46.264804999999996,http:www.espanolacurlingclub.camain.html,-81.768065,Ontario
"1151 Esquimalt Road, Victoria, BC V9A 3N6",Esquimalt Curling Club,48.429963,http:www.esquimaltcurlingclub.ca,-123.40988700000001,British Columbia
 Esterhazy  SK S0A 0X0   ,Esterhazy Curling Club,50.614887,,-102.075755,Saskatchewan
 Eston  SK S0L 1A0   ,Eston Curling Club,51.149842,,-108.757451,Saskatchewan
"205 Riverside Drive, Exeter, ON N0M 1S3",Exeter Curling Club,43.355987,http:www.exetercurlingclub.ca,-81.476729,Ontario
 Grand Falls  NL A2A 2J7   ,Exploit Regional Curling Club,48.948015999999996,https:www.facebook.comExploitsRegionalCurlingClub?ref=hl&bookmark_t=page,-55.676478,Newfoundland and Labrador
" Fahler, AB T0H 1M0    ",Fahler Curling Club,55.739059999999995,,-117.21398400000001,Alberta
 Fairview  AB T0H 1L0   ,Fairview Curling Club,56.069712,http:www.fairviewcurling.com,-118.38078600000001,Alberta
 41  Bond St. W.  Fenelon Falls  ON K0M 1N0  ,Fenelon Falls Curling Club,44.539038,http:www.ffcc.ca,-78.73783900000001,Ontario
 148 George St. W.  Fergus  ON N1M 2W8  ,Fergus Curling Club,43.706272,http:www.ferguscurling.ca,-80.380365,Ontario
 Fernie  BC V0B 1M0   ,Fernie Curling Club,49.53304,http:www.ferniecurlingclub.com,-115.768452,British Columbia
 Fillmore  SK S0G 1N0   ,Fillmore Curling Club,49.976094,,-103.337342,Saskatchewan
 Flin Flon  MB R8A 1N3   ,Flin Flon Curling Club,54.765218999999995,http:www.eteamz.comflinfloncurlingclub,-101.87552600000001,Manitoba
"22 McCain Street, Florenceville, NB E7L 3J4",Florenceville Curling Club,46.4397054,http:www.facebook.compagesFlorenceville-Curling-Club92970818264,-67.61894759999998,New Brunswick
 Foam Lake  SK S0A 1A0   ,Foam Lake Curling Club,51.641135,,-103.53161300000001,Saskatchewan
"6276 Townsend Line, Forest, ON N0N 1J0",Forest Curling & Social Club,50.0,http:www.forestcurling.ca,-86.0,Ontario
 Forestburg  AB T0B 1N0   ,Forestburg Curling Club,52.678509999999996,,-111.88004699999999,Alberta
 Fort Frances  ON P9A 3M5   ,Fort Frances Curling Club,48.632746000000004,http:www.fortfrancescurlingclub.ca,-93.360651,Ontario
 Norwood Grove  Winnipeg  MB R2H 3B8  ,Fort Garry Curling Club,49.883334000000005,http:www.fortgarrycurling.com,-97.166674,Manitoba
 Fort MacLeod  AB T0L 0Z0   ,Fort MacLeod Curling Club,49.65082,,-113.430099,Alberta
"Fort McPherson, NWT X0E 0J0",Fort McPherson Curling Club,61.066692,,-107.991707,Northwest Territories
 Fort Nelson  BC V0C 1R0   ,Fort Nelson Curling Assoc.,55.692018999999995,,-121.62695,British Columbia
 Fort Qu'Appelle  SK S0G 1S0   ,Fort Qu'Appelle Curling Club,50.764465,,-103.792371,Saskatchewan
"750 Daly Street, Winnipeg, MB R3L 2N2",Fort Rouge Curling Club,49.86296,http:www.mts.net~frcc,-97.141008,Manitoba
 5485 Beaver Harbour Rd.  Port Hardy  BC V0N 2P0  ,Fort Rupert Curling Club,50.697184,http:www.fortrupertcurlingclub.ca,-127.42286999999999,British Columbia
"9420-101 Street, Fort Saskatchewan, AB T8L 1T8",Fort Saskatchewan Curling Club,53.704574,http:www.fortsaskgolf.commain.shtml?Curling,-113.208156,Alberta
 Fort Simpson  NWT X0E 0N0   ,Fort Simpson Curling Club,61.066692,,-107.991707,Northwest Territories
 Fort Smith  NWT X0E 0P0   ,Fort Smith Curling Club,59.999465,,-111.86273500000001,Northwest Territories
 Fort St. John  BC V1J 4J3   ,Fort St. John Curling Club,56.294121,http:www.fortstjohn.caindex.php?option=com_content&view=article&id=205&Itemid=97,-120.8983,British Columbia
"218 N. Vickers St., Thunder Bay, ON P7C 4A9",Fort William Curling Club,48.386403,http:www.fortwilliamcurlingclub.com,-89.251097,Ontario
 Fox Valley  SK S0N 0V0   ,Fox Valley Curling Club,50.47525,,-109.382447,Saskatchewan
 Fraser Lake  BC V0J 1S0   ,Fraser Lake Curling Club,53.927822,,-124.579128,British Columbia
" 367 Smythe St., Fredericton, NB",Fredericton Curling Club,45.9612383,http:www.fcc1854.com,-66.6540843,New Brunswick
 Frontier  SK S0N 0W0   ,Frontier Curling Club,49.119403999999996,,-108.624568,Saskatchewan
 Oromocto Mall  Oromocto  NB E2V 2R6  ,Gage Golf & Curling Club,45.873177,http:www.gagegolfandcurling.com,-66.364243,New Brunswick
 Gainsborough  SK S0C 0Z0   ,Gainsborough Curling Club,49.080579,,-101.45523299999999,Saskatchewan
 GCPO 750 Coronation Blvd.  Cambridge   ON N1R 8E3  ,Galt Country Club,43.373466,http:www.galtcountryclub.com,-80.318839,Ontario
 1610 Dunbar Road  Cambridge  ON N1R 8C8  ,Galt Curling Club,43.390836,http:www.galtcurlingclub.com,-80.31695,Ontario
 300 William Street  Gananoque  ON K7G 2T7  ,Gananoque Curling Club,44.329915,http:www.gananoquecurlingclub.com,-76.15609599999999,Ontario
 Gander  NL A1V 1W5   ,Gander Curling Association,48.958914,,-54.611602000000005,Newfoundland and Labrador
"2288 - 47 Avenue S.W., Calgary, AB T2T 6J9",Garrison Curling Club,51.011312,http:www.garrisoncurling.comindex.aspx?page=home,-114.113403,Alberta
 Stn. Forces  Kingston  ON K7K 7B4  ,Garrison Golf & Curling Club,44.229962,http:www.ggcc.on.cacurlingindex.html,-76.48056700000001,Ontario
 Port-aux-Basques  NL A0M 1C0   ,Gateway Curling Club,52.0,,-56.0,Newfoundland and Labrador
 Geraldton  ON P0T 1M0   ,Geraldton Curling Club,49.70109,http:www.geraldtoncurlingclub.ca,-87.222688,Ontario
 Gibbons  AB T0A 1N0   ,Gibbons Curling Club,53.855768999999995,http:www.gibbonscurling.ca,-113.256852,Alberta
"951 Gibsons Way, R.R. 8, Gibsons, BC V0N 1V8",Gibsons Curling Club,49.406694,http:www.gibsonscurlingclub.com,-123.52250500000001,British Columbia
"Gilbert Plains, MB R0L 0X0",Gilbert Plains Curling Club,51.147132,,-100.488804,Manitoba
 Gillam  MB R0B 0L0   ,Gillam Curling Club,56.336664,,-94.787591,Manitoba
 Gimli  MB R0C 1B0   ,Gimli Curling Club,50.612772,http:www.gimlicurlingclub.ca,-96.999544,Manitoba
"224 Sunbury Drive, Fredericton Junction, NB E5L 1S2",Gladstone Curling Club,45.662378000000004,,-66.611857,New Brunswick
 Gladstone  MB R0J 0T0   ,Gladstone Curling Club,50.209072,,-98.964632,Manitoba
 3091 Homestead Dr.  Mount Hope  ON L0R 1W0  ,Glanford Curling Club,49.233608000000004,http:www.glanfordcurling.com,-122.789302,Ontario
 Gleichen  AB T0J 1N0   ,Gleichen Curling Club,50.864929,,-113.05394799999999,Alberta
"1050 McTavish Rd. RR 2, Sidney, BC V8L 5T4",Glen Meadows Curling Club,48.630041,http:www.glenmeadows.bc.cacurlingindex.htm,-123.456364,British Columbia
 Glenboro  MB R0K 0X0   ,Glenboro Curling Club,49.556340999999996,,-99.292113,Manitoba
"268 Currie St., Box 689, Glencoe, ON N0L 1M0",Glencoe & District Curling Club,42.749254,www.geocities.comglencoecurling,-81.715561,Ontario
"401 Mount Albion Road, Hamilton, ON L8K 5T4",Glendale Golf & Country Club,43.210440000000006,http:www.glendale.on.ca,-79.8,Ontario
 Glendon  AB T0A 1P0   ,Glendon Curling Club,54.229509,,-111.02816599999998,Alberta
 Maxville  ON K0C 1T0   ,Glengarry Curling Club,45.286364,http:www.glengarry.ovca.com,-74.853778,Ontario
"120 rue Glenmore, Dollard Des Ormeaux, QC H9B 2X9",Glenmore Curling Club,45.4949,http:www.glenmorecurling.com,-73.805256,Quebec
 Baldur  MB R0K 0B0   ,Glenora Curling Club,49.382115,,-99.251288,Manitoba
 Glentworth  SK S0H 1V0   ,Glentworth Curling Club,49.423272,,-106.68891299999999,Saskatchewan
 Kentville  NS B4N 3V9   ,Glooscap Curling Club,45.072121,http:www.glooscapcurling.ca,-64.483699,Nova Scotia
 Glovertown  NL A0G 2L0   ,Glovertown & Area Curling Association,48.771448,,-54.098493000000005,Newfoundland and Labrador
 Gold River  BC V0P 1G0   ,Gold River Curling Club,49.783559000000004,,-126.04483400000001,British Columbia
 Blenheim  ON N0P 1A0   ,Golden Acres Curling Club,42.329688,http:www.blenheimcurling.com,-81.987605,Ontario
 Golden  BC V0A 1H0   ,Golden Curling Club,51.300315000000005,,-116.981761,British Columbia
"2358 - 105th Avenue, Box 361, Maple Ridge , BC V2X 8K9",Golden Ears Winter Club,49.193961,http:www.gewc.ca,-122.56836799999999,British Columbia
 Station C  Goose Bay  NL A0P 1C0  ,Goose Bay Curling Club,52.0,,-56.0,Newfoundland and Labrador
 Govan  SK S0G 1Z0   ,Govan Curling Club,51.343920000000004,,-105.075364,Saskatchewan
"141 Chapel Street, Grand Falls, NB E3Z 2L9",Grand Falls Curling Club,47.047338,,-67.735893,New Brunswick
 Grand Forks   BC V0H 1H0   ,Grand Forks Curling Club,49.028577,http:www.curlgf.ca,-118.45179099999999,British Columbia
"24 Curling Club Lane, Grand Manan, NB E5G 2E6",Grand Manan Curling Club,44.696431,,-66.753653,New Brunswick
 Beaconia  MB R0E 0B0   ,Grand Marias Curling Club,50.494128,,-96.594961,Manitoba
 Grande Cache  AB T0E 0Y0   ,Grande Cache Curling Club,53.888684999999995,http:www.curlgc.ca,-119.11402199999999,Alberta
 Grande Prairie  AB T8V 3A4   ,Grande Prairie Curling Club,55.228862,http:www.grandeprairiecurlingclub.com,-119.00004299999999,Alberta
"Grandview, MB R0L 0Y0",Grandview Curling Club,51.172715000000004,,-100.630851,Manitoba
"2350 Bayview Avenue, Toronto, ON M2L 1E4",Granite Club Limited,43.732933,http:www.graniteclub.com,-79.381314,Ontario
"8620-107th Street, Edmonton, AB T6E 4L3",Granite Curling Club,53.522451000000004,http:www.granitecurlingclub.com,-113.506328,Alberta
"One Granite Way, Winnipeg, MB R3C 0Y9",Granite Curling Club,49.883334000000005,http:www.granitecurlingclub.ca,-97.166674,Manitoba
 Saskatoon  SK S7K 3N2   ,Granite Curling Club,52.116943,http:www.saskatoongranitecurlingclub.ca,-106.63904,Saskatchewan
"2026 Scott Street , Ottawa, ON K1Z 6T1",Granite Curling Club of West Ottawa,45.395753000000006,http:www.ottawagranite.com,-75.753235,Ontario
 Gravelbourg  SK S0H 1X0   ,Gravelbourg Curling Club,49.78723,,-106.564568,Saskatchewan
"330 John St. N., Gravenhurst, ON P1P 1G4",Gravenhurst Curling Club,44.92134,http:www.gravenhurstcurlingclub.com,-79.376336,Ontario
 Grayson  SK S0A 1E0   ,Grayson Curling Club,50.719993,,-102.64402,Saskatchewan
 Grenfell  SK S0G 2B0   ,Grenfell Curling Club,50.41259,,-102.930024,Saskatchewan
"727 - 2nd Ave. E., Owen Sound, ON N4K 2G9",Grey Granite Club,44.562475,http:www.greygranite.com,-80.942137,Ontario
 Griffin  SK S0C 1G0   ,Griffin Curling Club,49.653835,,-103.530863,Saskatchewan
 Grimsby  ON L3M 4G5   ,Grimsby Curling Club,43.185345,http:www.grimsbycurling.com,-79.53096500000001,Ontario
"133 Woodlawn Rd. E., Guelph, ON N1E 7H9",Guelph Country Club,43.570236,http:www.tgcc.ca,-80.27036,Ontario
"816 Woolwich St., R.R.# 5, Guelph, ON N1H 6J2",Guelph Curling Club,43.546176,http:www.guelphcurlingclub.com,-80.247059,Ontario
 Gull Lake  SK S0N 1A0   ,Gull Lake Curling Club,50.097747,,-108.469373,Saskatchewan
 Halbstadt  MB R0A 0S0   ,Halbstadt Curling Club,55.0,,-97.0,Manitoba
 Haliburton  ON K0M 1S0   ,Haliburton Curling Club,44.782325,http:www.haliburtoncurlingclub.com,-78.703532,Ontario
"948 South Bland St., Halifax, NS B3H 2S5",Halifax Curling Club,44.634264,http:www.halifaxcurlingclub.com,-63.572072999999996,Nova Scotia
"568 King Street East, Hamilton, ON L8N 1E2",Hamilton Victoria Curling Club,43.252414,http:www.hamiltonvictoriaclub.com,-79.851598,Ontario
 Hamiota  MB R0M 0T0   ,Hamiota Curling Club,50.156134,,-100.571575,Manitoba
"48 Cemetery Rd., Hampton, NB E5N 3B2",Hampton Curling Club,45.526317999999996,,-65.833877,New Brunswick
 Hanley  SK S0G 2E0   ,Hanley Curling Club,50.359918,,-103.778503,Saskatchewan
 Hanna  AB T0J 1P0   ,Hanna Curling Club,51.647253000000006,http:www.aroundhanna.comDefault.aspx?alias=www.aroundhanna.comhannacurlingclub,-111.93031,Alberta
"247 - 12th Street, Hanover, ON N4N 1V2",Hanover Curling Club,44.153355,,-81.03060500000001,Ontario
 Hardisty  AB T0B 1V0   ,Hardisty Curling Club,53.089636,,-110.821307,Alberta
 111 George St. S.  Harriston  ON N0G 1Z0  ,Harriston Curling Club,43.913139,http:www.harristoncurlingclub.com,-80.86480300000001,Ontario
 Hartney  MB R0M 0X0   ,Hartney Curling Club,49.481574,,-100.522767,Manitoba
"12 Candlelight Lane, Harvey Station, NB E6K 2N2",Harvey Curling Club,45.729932,,-67.005768,New Brunswick
 1150 Golf Club Rd.  Hawkesbury  ON K6A 2R8  ,Hawkesbury Golf & Curling Club,45.575804,http:www.hawkesburygolfandcurling.com,-74.521845,Ontario
 Hay Lakes  AB T0B 1W0   ,Hay Lakes Curling Club,53.21090699999999,,-113.05535400000001,Alberta
 Hay River  NWT X0E 0T0   ,Hay River Curling Club,60.713905000000004,,-115.88931299999999,Northwest Territories
 Hazlet  SK S0N 1E0   ,Hazlet Curling Club,50.400866,,-108.59596599999999,Saskatchewan
"120 Youville Street, Winnipeg, MB R2H 2S1",Heather Curling Club,49.875797999999996,http:www.heathercurlingclub.org,-97.10706400000001,Manitoba
"24 Reed Ave., Unit 1, St. Andrews, NB E5B 1A1",Heather Curling Club,45.080656,http:www.heathercurlingclub.ca,-67.059102,New Brunswick
"4749 - 45 Avenue, Vegreville, AB T9C 1L1",Heather Curling Club,53.49051899999999,,-112.04628799999999,Alberta
 Herbert  SK S0H 2P0   ,Herbert Curling Club,49.653806,,-106.263672,Saskatchewan
"4300 Garden Crescent, Petrolia, ON N0N 1R0",Heritage Heights Golf & Curling Club,42.874838000000004,http:www.heritageheightsgolf.com,-82.135245,Ontario
 High Level  AB T0H 1Z0   ,High Level Curling Club,56.922867000000004,,-117.614052,Alberta
"100 Indian Road, Toronto, ON M6R 2V4",High Park Club,43.642739,http:www.highparkclub.com,-79.453356,Ontario
 High Prairie  AB T0G 1E0   ,High Prairie Curling Club,55.434889,,-116.485248,Alberta
"279 Commissioners Road East, London, ON N6C 2T4",Highland Country Club,42.957598,http:www.highlandcountryclub-curling.comappsindex.asp,-81.244077,Ontario
"348 Broad St., Regina, SK S4R 1W9",Highland Curling Club,50.472519,http:www.highlandcurlingclub.com,-104.606567,Saskatchewan
 St. Andrews  NS B0H 1X0   ,Highlander Curling Club,45.519226,http:www.highlandercurlingclub.com,-61.885932999999994,Nova Scotia
 228B-12 Avenue S.E.  High River  AB T1V 1E7  ,Highwood Curling Club,50.579708000000004,http:www.highwoodcurling.ca,-113.856921,Alberta
 Hinton  AB T7V 1Y2   ,Hinton Curling Club,53.40338199999999,,-117.54575600000001,Alberta
 Kitimat  BC V8C 2G6   ,Hirsch Creek Golf & Winter Club,54.046905,http:www.kitimatgolf.com,-128.629037,British Columbia
 Hodgeville  SK S0H 2B0   ,Hodgeville Curling Club,50.116377,,-106.96073799999999,Saskatchewan
 Holland  MB R0G 0X0   ,Holland Curling Club,49.565313,,-98.878513,Manitoba
"950 Crosscreek Road, West Vancouver, BC V7S 2S5",Hollyburn Country Club,49.346259,www.hollyburn.org,-123.14466999999999,British Columbia
"1055 - 6th Avenue, Hope, BC V0X 1L4",Hope Curling Club,49.37836,,-121.43185600000001,British Columbia
 New Liskeard  ON P0J 1P0   ,Horne Granite Curling Club,47.551516,,-79.852036,Ontario
 Houston  BC V0J 1Z0   ,Houston Curling Club,54.396469999999994,,-126.63605,British Columbia
"2458 Memquam Rd., Box 755, Squamish, BC V0N 3G0",Howe Sound Curling Club,49.735032000000004,http:www.howesoundcurl.com,-123.127996,British Columbia
 Hudson Bay  SK S0E 0Y0   ,Hudson Bay Curling Club,52.865242,,-104.593032,Saskatchewan
 Hudson  QC J0P 1J0   ,Hudson Legion Curling Club,45.44693,http:www.hudsonlegion.comhtmlhudson_legion_curling_club.html,-74.167438,Quebec
"128 C\u00f4te St. Charles Road, Hudson, Qu\u00e9bec, J0P 1H0",Hudson Whitlock Curling Club,45.45343949999999,http:www.whitlockgcc.com,-74.16488070000003,Quebec
"c\/o 1668 Islington Ave., Islington, ON M9A 3M9",Humber Seniors Curling Club,50.0,http:www.humberseniorscurling.ca,-86.0,Ontario
 Humboldt  SK S0K 2A0   ,Humboldt Curling Club,52.201392999999996,http:cityofhumboldt.ca?page=60,-105.134075,Saskatchewan
"520 - 78 Avenue N. W., Calgary, AB T2K 0S2",Huntington Hills Curling Club,51.122589000000005,http:www.huntingtonhillscurlingclub.com,-114.07199399999999,Alberta
 3806 Carp Rd.  Carp  ON K0A 1L0  ,Huntley Curling Club,45.347307,http:www.huntley.ovca.com,-76.039238,Ontario
"6 Lansdowne St. East, Huntsville, ON P1H 1V9",Huntsville Curling Club,45.323961,http:www.huntsvillecurlingclub.ca,-79.219187,Ontario
 Hussar  AB T0J 1S0   ,Hussar Curling Club,51.040995,,-112.681207,Alberta
 Huxley  AB T0M 0Z0   ,Huxley Curling Club,51.857431,,-113.223427,Alberta
 Hylo  AB T0A 1Z0   ,Hylo\/Venice Curling Club,54.632574,,-112.32456599999999,Alberta
"400 Walford Road East, Sudbury, ON P3E 2G9",Idylwylde Golf & Country Club,46.464104999999996,http:www.idylwylde.com,-80.986649,Ontario
 13168 Ilderton Road  Ilderton  ON N0M 2A0  ,Ilderton Curling Club,43.077911,http:www.ildertoncurlingclub.com,-81.38628100000001,Ontario
 Indian Head  SK S0G 2K0   ,Indian Head Curling Club,50.533491999999995,http:www.ihcurling.comindex2.html,-103.667691,Saskatchewan
 36 Chisholm Dr.  Ingersoll  ON N5C 3K1  ,Ingersoll & District Curling Club,43.02561,http:www.ingersolldistrictcurlingclub.com,-80.88816800000001,Ontario
"19 Gosling Way S.E., Calgary, AB T2B 3V7",Inglewood Curling Club,51.029512,http:www.honeypixel.comclientsinglewoodindex.php?page=curling,-113.998848,Alberta
 Stn. Main  Innisfail  AB T4G 1S7  ,Innisfail Curling Club,52.020084999999995,http:www.innisfailcurlingclub.ca,-113.94943,Alberta
 Innistree  AB T0B 2G0   ,Innisfree Curling Club,55.0,,-115.0,Alberta
"194 Loucheux Rd., Inuvik, NWT X0E 0T0",Inuvik Curling Club,61.066692,,-107.991707,Northwest Territories
 Invermere  BC V0A 1K0   ,Invermere Curling Club,51.29615,,-116.96303200000001,British Columbia
 Iqaluit  NU X0A 1H0   ,Iqaluit Curling Club,63.760513,,-68.543699,Nunavut
"Box 483, Irma, AB T0B 2H0",Irma Curling Club,52.91702900000001,,-111.23232,Alberta
 Iroquois Falls  ON P0K 1E0   ,Iroquois Falls Curling Club,48.765121,,-80.68265699999999,Ontario
 Irricana  AB T0M 1B0   ,Irricana Curling Club,51.335526,,-113.638129,Alberta
 Ituna  SK S0A 1N0   ,Ituna Curling Club,51.172665,,-103.492829,Saskatchewan
 Jasper  AB T0E 1E0   ,Jasper Curling Club,52.876217000000004,http:www.jasperplacecurling.ca,-118.089178,Alberta
"16521 - 107 Ave., Edmonton, AB T5P 0Y7",Jasper Place Curling Club,53.55154,http:www.jasperplacecurling.ca,-113.607253,Alberta
 Jenner  AB T0J 1W0   ,Jenner Curling Club,50.564245,,-111.880278,Alberta
