Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Mountain Pacific Curling Association,Ogden Curling Club,Dee Events Center,Ogden,Utah,84404.0,Arena,6.0,1998,41.23697,-111.98602
Grand National Curling Club,Anthracite Curling Club (Formerly Scranton Curling Club),38 Coal St,Wilkes-Barre,Pennsylvania,18702.0,Arena,4.0,2006,41.24331,-75.8742
Grand National Curling Club,Nantucket Curling Club,10 Backus Ln,Nantucket,Massachusetts,2554.0,Arena,4.0,2016,41.27001,-70.09729
Grand National Curling Club,French Creek Curling Club,800 Thurston Rd,Meadville,Pennsylvania,16335.0,Arena,4.0,2016,41.63258,-80.12862
Midwest Curling Association,Des Moines Curling Club,5100 NW 72nd St,Des Moines,Iowa,50322.0,Arena,4.0,2013,41.653999999999996,-93.71966
Mountain Pacific Curling Association,Cache Valley Stone Society,North 200 East,Logan,Utah,84321.0,Arena,5.0,2002,41.7359,-111.82966
Grand National Curling Club,Ocean State Curling Club,101 Pleasant View Ave,Cranston,Rhode Island,2910.0,Arena,4.0,2009,41.7884263,-71.43688540000001
Grand National Curling Club,South Shore Curling Club,20 Bedford Park,Bridgewater,Massachusetts,2324.0,Arena,5.0,2010,41.952709999999996,-70.97111
Midwest Curling Association,Cedar Rapids Curling,1100 Rockford Rd SW,Cedar Rapids,Iowa,52404.0,Arena,6.0,2012,41.96552,-91.68853
Mountain Pacific Curling Association,Klamath Falls Curling Club,5075 Fox Sparrow Dr,Klamath Falls,Oregon,97601.0,Arena,2.0,2012,42.2721,-121.88088
Grand National Curling Club,Finger Lakes Curling Club,1767 E Shore Dr,Ithaca,New York,14850.0,Arena,4.0,2017,42.51802,-76.50345
Grand National Curling Club,Equinox Curling Club,410 Hunter Park Rd,Manchester,Vermont,5255.0,Arena,2.0,2010,43.1892,-73.04809
Mountain Pacific Curling Association,Boise Curling Club,7072 S. Eisenman Road,Boise,Idaho,83716.0,Arena,5.0,2004,43.5386532,-116.16278500000001
Dakota Territory Curling Association,Sioux Falls Curling,4300 N Bobhalla Dr,Sioux Falls,South Dakota,57107.0,Arena,4.0,2010,43.59408,-96.75388000000001
Unaffiliated Clubs,Lakes Region Curling Association,390 Pine Hill Rd,Wolfeboro,New Hampshire,3894.0,Arena,5.0,2014,43.609759999999994,-71.22870999999999
Grand National Curling Club,Upper Valley Curling Club,69 Kings Hwy,Woodstock,Vermont,5091.0,Arena,3.0,2007,43.62538,-72.51769
Grand National Curling Club,Mount Washington Valley Curling Club,87 W Main St,Conway,New Hampshire,3818.0,Arena,4.0,2011,43.97498,-71.12741
Mountain Pacific Curling Association,Bend Curling Club,61149 S Hwy 97,Bend,Oregon,97702.0,Arena,4.0,2015,44.02042,-121.31701000000001
Minnesota Curling Association,Curling Club of Rochester,21 Elton Hills Dr NW,Rochester,Minnesota,55901.0,Arena,4.0,2017,44.04209,-92.46188000000001
Dakota Territory Curling Association,Rushmore Curling Club,235 Waterloo St,Rapid City,South Dakota,57701.0,Arena,4.0,2003,44.08422,-103.20711999999999
Great Lakes Curling Association,Traverse City Curling Club,1600 Chartwell Dr,Traverse City,Michigan,49696.0,Arena,3.0,2014,44.70906,-85.54468
Minnesota Curling Association,Richfield Curling Club,636 E 66th St,Richfield,Minnesota,55423.0,Arena,4.0,2018,44.88369,-93.26576
Mountain Pacific Curling Association,McCall Curling Club,200 E Lake St,McCall,Idaho,83638.0,Arena,4.0,2004,44.91052,-116.10021
Minnesota Curling Association,St. Croix Curling Center,2489 Itasca Ave S,Lakeland,Minnesota,55043.0,Arena,5.0,2018,44.91367,-92.77056
Minnesota Curling Association,Glacial Ridge Curling,2707 Arena Dr,Willmar,Minnesota,56201.0,Arena,5.0,2004,45.148720000000004,-95.00631
Dakota Territory Curling Association,Aberdeen Curling Club,400 24th Ave NW,Aberdeen,South Dakota,57401.0,Arena,4.0,2014,45.4884585,-98.5158607
Unaffiliated Clubs,Bozeman Curling Club,901 N Black Ave.,Bozeman,Montana,59715.0,Arena,4.0,2015,45.69001,-111.03606
Unaffiliated Clubs,Billings Curling Club,427 Bench Blvd,Billings,Montana,59105.0,Arena,3.0,2012,45.8067,-108.46472
Minnesota Curling Association,Vikingland Curling Club,802 3rd Ave W,Alexandria,Minnesota,56308.0,Arena,5.0,2005,45.891090000000005,-95.39028
Unaffiliated Clubs,Copper City Curling Club,1700 Wall St,Butte,Montana,59701.0,Arena,3.0,2011,45.998670000000004,-112.51386000000001
Mountain Pacific Curling Association,Missoula Curling Club,1101 South Ave West,Missoula,Montana,59801.0,Arena,5.0,2010,46.84855,-114.01491999999999
Unaffiliated Clubs,Wenatchee Curling Club,1300 Walla Walla Ave,Wenatchee,Washington,98801.0,Arena,5.0,2006,47.44234,-120.32166000000001
Washington State Curling Association,Lilac City Curling Club,6321 N Addison St,Spokane,Washington,99208.0,Arena,4.0,2011,47.71621,-117.40343999999999
Unaffiliated Clubs,Whitefish Curling Club,715 Wisconsin Ave,Whitefish,Montana,59937.0,Arena,3.0,2009,48.423120000000004,-114.34033000000001
Unaffiliated Clubs,Hi Line Curling Club,1910 Heritage Drive Havre,Havre,Montana,59501.0,Arena,4.0,2014,48.534459999999996,-109.66948000000001
Great Lakes Curling Association,Lansing Curling Club,2810 Hannah Blvd,Lansing,Michigan,48823.0,Arena,5.0,2010,42.720420000000004,-84.45423000000001
Mountain Pacific Curling Association,Coyotes Curling Club,2202 W Medtronic Way,Tempe,Arizona,85281.0,Dedicated,4.0,2003,33.41851,-111.97251000000001
Grand National Curling Club,Peachtree Curling Association,4880 Lower Roswell Rd,Marietta,Georgia,30068.0,Dedicated,3.0,2015,33.965959999999995,-84.40928000000001
Grand National Curling Club,Charlotte Curling Association,6525 Old Statesville Rd,Charlotte,North Carolina,28269.0,Dedicated,4.0,2010,35.31285,-80.83707
Grand National Curling Club,Triangle Curling Club,2310 So-Hi Dr,Durham,North Carolina,27703.0,Dedicated,4.0,1995,35.942190000000004,-78.87409
Grand National Curling Club,Chesapeake Curling Club,10028 Ocean Gateway,Easton,Maryland,21601.0,Dedicated,3.0,1980,38.82608,-76.06246999999999
Mountain Pacific Curling Association,Lake Tahoe Epic Curling,128 Market St #1a,Stateline,Nevada,89449.0,Dedicated,2.0,2012,38.966429999999995,-119.93088
Grand National Curling Club,Potomac Curling Club,13810 Old Gunpowder Rd,Laurel,Maryland,20707.0,Dedicated,4.0,1961,39.07881,-76.92327
Great Lakes Curling Association,Cincinnati Curling Club,5150 Duff Dr,Cincinnati,Ohio,45246.0,Dedicated,3.0,2008,39.3089818,-84.45305350000001
Mid-America Curling Association,Denver Curling Club,14100 W 7th Ave,Golden,Colorado,80401.0,Dedicated,4.0,1965,39.72696,-105.15771000000001
Great Lakes Curling Association,Columbus Curling Club,2999 Silver Dr REAR,Columbus,Ohio,43224.0,Dedicated,3.0,2004,40.02585,-82.99529
Grand National Curling Club,Philadelphia Curling Club,65 Plank Ave,Paoli,Pennsylvania,19301.0,Dedicated,2.0,1957,40.04249,-75.49116
Grand National Curling Club,Bucks County Curling Club,1185 Old York Rd,Warminster,Pennsylvania,18974.0,Dedicated,4.0,2010,40.22582379999999,-75.095828
Grand National Curling Club,Plainfield Curling Club,133 McKinley St,South Plainfield,New Jersey,7080.0,Dedicated,2.0,1963,40.55557,-74.41253
Grand National Curling Club,New York Caledonian Curling Club,3 W 95th St,Bronxville,New York,10025.0,Dedicated,3.0,1855,40.79125,-73.96551
