Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Mid-America Curling Association,Poudre Valley Curling Club,1801 Riverside Ave,Fort Collins,Colorado,80525.0,Arena,4.0,,40.56328,-105.04632
Unaffiliated Clubs,Breckenridge Curling ,189 Boreas Pass Rd,Breckenridge,Colorado,80424.0,Arena,2.0,,39.473290000000006,-106.04015
Grand National Curling Club,"The Country Club (of Chestnut Hill, MA)",191 Clyde St,Chestnut Hill,Massachusetts,2467.0,Dedicated,4.0,,42.3138,-71.1499
Minnesota Curling Association,Buhl Curling Club,2 Jones Ave,Buhl,Minnesota,55713.0,Dedicated,4.0,,47.4959251,-92.7803858
Grand National Curling Club,Rutland Curling Club,2 Oak St Ext,Rutland,Vermont,5701.0,Arena,4.0,,43.61845,-72.99173
Dakota Territory Curling Association,Minot Curling Club,2005 E Burdick Expy,Minot,North Dakota,58701.0,Dedicated,4.0,,48.23158,-101.26366
Midwest Curling Association,Illinois Central Curling Club,201 S Roosevelt Ave ,Bloomington,Illinois,61701.0,Arena,5.0,,40.477270000000004,-88.99651999999999
Alaska State Curling Association,Barrow Hockey & Curling Association,2026 Ahkovak,St Utqiagvik,Alaska,99723.0,Dedicated,2.0,,71.28957,-156.75826
Minnesota Curling Association,Stephen Curling Club,210 Lincoln Ave,Stephen,Minnesota,56757.0,Dedicated,3.0,,48.4516674,-96.88051490000001
Grand National Curling Club,Lake Placid Curling Club,213 Ampersand Ave,Lake Placid,New York,12983.0,Arena,4.0,,44.282109999999996,-73.98276
Unaffiliated Clubs,Curling Club of the University of Denver,2240 Buchtel Blvd S,Denver,Colorado,80210.0,Arena,,2006,39.682829999999996,-104.96085
Unaffiliated Clubs,Blue Ridge Curling Club,230 W. Main St.,Charlottesville,Virginia,22902.0,Arena,,2016,38.03085,-78.48326999999999
Wisconsin State Curling Association,La Crosse Curling Club,2312 7th St S,La Crosse,Wisconsin,54601.0,Arena,5.0,,43.78864229999999,-91.24965490000001
Minnesota Curling Association,Twin Cities Curling Association,2500 East 25th Street,Minneapolis,Minnesota,55406.0,Unknown,,,44.95776,-93.23588000000001
Great Lakes Curling Association,Cleveland Skating Club,2500 Kemper Rd,Shaker Heights,Ohio,44120.0,Arena,5.0,,41.4906,-81.59061
Unaffiliated Clubs,St. Joseph Curling Club,2500 Southwest Pkwy,St. Joseph,Missouri,64503.0,Arena,4.0,,39.73715,-94.82873000000001
Mountain Pacific Curling Association,Bakersfield Curling Club,27745 Smyth Dr,Valencia,California,91355.0,Arena,,2018,34.43877,-118.56541000000001
Wisconsin State Curling Association,Loch Wissota Curling Club,2914 Northland Drive,Eau Claire,Wisconsin,54703.0,Outdoor,1.0,,44.84941,-91.47077
Dakota Territory Curling Association,Grafton Curling Club,31 E 7th St,Grafton,North Dakota,58237.0,Dedicated,4.0,,48.4177,-97.41076
Minnesota Curling Association,Heather-Mapleton Curling Club,315 Silver St W,Mapleton,Minnesota,56065.0,Dedicated,4.0,,43.92734,-93.96296
Minnesota Curling Association,Cook County Curling Club,317 W 5th St,Grand Marais,Minnesota,55604.0,Dedicated,4.0,,47.75584,-90.33766999999999
Grand National Curling Club,Florida Hospital Center Ice Curling,3173 Cypress Ridge Blvd.,Wesley Chapel,Florida,33544.0,Arena,5.0,2016,28.1954995,-82.3804402
Grand National Curling Club,Kayuta Lake Curling Club,318 Buck Lane,Forestport,New York,13338.0,Outdoor,,2001,43.40803,-75.18364
Mid-America Curling Association,Broadmoor Curling Club,3205 Venetucci Blvd,Colorado Springs,Colorado,80906.0,Arena,4.0,,38.78823,-104.79493000000001
Grand National Curling Club,Panthers Curling Club,3299 Sportsplex Dr,Coral Springs,Florida,33065.0,Arena,4.0,,26.271340000000002,-80.29136
Mountain Pacific Curling Association,Coeur d'Alene Curling Club,3525 W Seltice Way,Coeur d'Alene,Idaho,83814.0,Arena,4.0,,47.70328,-116.83476
Minnesota Curling Association,Chisholm Curling Club,430 1st St NW,Chisholm,Minnesota,55719.0,Dedicated,4.0,,47.4905628,-92.88600770000001
Dakota Territory Curling Association,Fargo-Moorhead Curling Club,4300 23rd Ave S,Fargo,North Dakota,58104.0,Dedicated,6.0,,46.843309999999995,-96.85661
Mountain Pacific Curling Association,Hawai'i Curling Club,4510 Salt Lake Blvd.,Honolulu,Hawaii,96818.0,Paper,,2013,21.3655,-157.92733
Minnesota Curling Association,Arden Hills Curling Club,470 Selby Avenue,St. Paul,Minnesota,55102.0,Dedicated,8.0,,44.94647,-93.11994
Unaffiliated Clubs,Nederland Curling Club,500 Indian Peaks Drive,Nederland,Colorado,80466.0,Arena,1.0,,39.9726,-105.51801999999999
Minnesota Curling Association,Hallock Curling Club,513 Bryan Ave,Hallock,Minnesota,56728.0,Dedicated,3.0,,48.77048,-96.94598
Dakota Territory Curling Association,Williston Basin Curling Club,519 53rd Street East Building B,Williston,North Dakota,58801.0,Dedicated,4.0,,48.1921249,-103.6113435
Great Lakes Curling Association,South Haven,546 Phoenix St,South Haven,Michigan,49090.0,Forming,3.0,2015,42.40293,-86.27197
Mid-America Curling Association,Kansas City Curling Club,5940 NW Waukomis Dr,Kansas City,Missouri,64151.0,Arena,5.0,,39.2021,-94.60848
Great Lakes Curling Association,Delta Rocks Curling Club,6 Aspen Lane,Gladstone,Michigan,49837.0,Arena,3.0,,45.867,-87.03772
Unaffiliated Clubs,Curling Club of Virginia,636 Johnston Willis Dr,Richmond,Virginia,23236.0,Arena,,2011,37.50349,-77.59398
Unaffiliated Clubs,Cloud City Curling Club,650 W 4th St #500,Leadville,Colorado,80461.0,Outdoor,2.0,,39.2454015,-106.2992813
Dakota Territory Curling Association,Lake Region Curling Club,703 7th Street South,Devils Lake,North Dakota,58301.0,Dedicated,4.0,,48.102940000000004,-98.8552
Grand National Curling Club,Rail City Curling Club,750 Park Ave. Altoona,Altoona,Pennsylvania,16602.0,Arena,,2018,40.471379999999996,-78.3931
Minnesota Curling Association,Thief River Falls Curling Club,815 3rd St W,Thief River Falls,Minnesota,56701.0,Dedicated,4.0,,48.1192849,-96.1933426
Wisconsin State Curling Association,Waukesha Curling Club,911 East Roberta Ave.,Waukesha,Wisconsin,53186.0,Dedicated,3.0,,42.99329,-88.21645
Unaffiliated Clubs,NWA Curling Club,922 E Emma Ave,Springdale,Arkansas,72764.0,Arena,2.0,,36.18658,-94.11825
Grand National Curling Club,Pine Tree Curling Club,225 Park Ave,Portland,Maine,4102.0,Arena ,5.0,2015,43.6565,-70.27626
